#VisAO r-prime
#Effective wavelength =      0.62645846 microns
#Effective width =       0.11159971 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.766500  3.69137e-05  4.19432e-05  4.19432e-05
     0.767000  3.58648e-05  4.07780e-05  4.07780e-05
     0.767500  3.46013e-05  3.93670e-05  3.93670e-05
     0.768000  3.40487e-05  3.87635e-05  3.87635e-05
     0.768500  3.27106e-05  3.72643e-05  3.72643e-05
     0.769000  3.26265e-05  3.71927e-05  3.71927e-05
     0.769500  3.22822e-05  3.68241e-05  3.68241e-05
     0.770000  3.15362e-05  3.59966e-05  3.59966e-05
     0.770500  3.11469e-05  3.55753e-05  3.55753e-05
     0.771000  3.02181e-05  3.45369e-05  3.45369e-05
     0.771500  2.92266e-05  3.34253e-05  3.34253e-05
     0.772000  2.93560e-05  3.35951e-05  3.35951e-05
     0.772500  2.88696e-05  3.30598e-05  3.30598e-05
     0.773000  2.74626e-05  3.14689e-05  3.14689e-05
     0.773500  2.70158e-05  3.09770e-05  3.09770e-05
     0.774000  2.63569e-05  3.02411e-05  3.02411e-05
     0.774500  2.67546e-05  3.07172e-05  3.07172e-05
     0.775000  2.53544e-05  2.91284e-05  2.91284e-05
     0.775500  2.54195e-05  2.92220e-05  2.92220e-05
     0.776000  2.52855e-05  2.90867e-05  2.90867e-05
     0.776500  2.37980e-05  2.73933e-05  2.73933e-05
     0.777000  2.31786e-05  2.66975e-05  2.66975e-05
     0.777500  2.41203e-05  2.78000e-05  2.78000e-05
     0.778000  2.28950e-05  2.64047e-05  2.64047e-05
     0.778500  2.26795e-05  2.61730e-05  2.61730e-05
     0.779000  2.43515e-05  2.81206e-05  2.81206e-05
     0.779500  2.19414e-05  2.53538e-05  2.53538e-05
     0.780000  2.24873e-05  2.60012e-05  2.60012e-05
     0.780500  2.11567e-05  2.44783e-05  2.44783e-05
     0.781000  2.12745e-05  2.46304e-05  2.46304e-05
     0.781500  2.07315e-05  2.40171e-05  2.40171e-05
     0.782000  2.03530e-05  2.35937e-05  2.35937e-05
     0.782500  2.05187e-05  2.38010e-05  2.38010e-05
     0.783000  2.10905e-05  2.44799e-05  2.44799e-05
     0.783500  1.85420e-05  2.15356e-05  2.15356e-05
     0.784000  1.82278e-05  2.11842e-05  2.11842e-05
     0.784500  2.02194e-05  2.35138e-05  2.35138e-05
     0.785000  1.92361e-05  2.23846e-05  2.23846e-05
     0.785500  1.90009e-05  2.21250e-05  2.21250e-05
     0.786000  1.89533e-05  2.20835e-05  2.20835e-05
     0.786500  1.76308e-05  2.05557e-05  2.05557e-05
     0.787000  1.70909e-05  1.99388e-05  1.99388e-05
     0.787500  1.83429e-05  2.14132e-05  2.14132e-05
     0.788000  1.77915e-05  2.07827e-05  2.07827e-05
     0.788500  1.69790e-05  1.98461e-05  1.98461e-05
     0.789000  1.74089e-05  2.03615e-05  2.03615e-05
     0.789500  1.63528e-05  1.91384e-05  1.91384e-05
     0.790000      0.00000      0.00000      0.00000
