17829.4 -15.8724 2.33088  0.300368 0.292167
16417.7 8.45711 25.4405  0.330379 0.295759
19185 6.93312 -34.8265  0.27412 0.290527
18680.9 -32.8969 -42.4995  0.283601 0.2894
17356.1 3.74772 -5.2652  0.310115 0.291448
13841.3 -37.7298 0.274418  0.393091 0.296591
16834.3 -4.59605 -17.4636  0.321224 0.297173
23061.7 -39.9188 1.49251  0.211041 0.29444
18241.6 -30.8315 -23.5321  0.292132 0.298616
18656.5 -44.4723 -53.6047  0.284068 0.300316
18005.4 -54.576 -17.9003  0.296825 0.300282
15328.2 -22.1582 -24.3748  0.355575 0.306134
17371.4 -97.743 -16.0094  0.309794 0.305101
18486.4 -30.1708 -18.7678  0.287348 0.304988
21658.3 -54.0037 -13.9173  0.231996 0.303512
14758.9 -32.853 -26.6982  0.369497 0.308485
15429.2 -25.1686 -57.2813  0.353161 0.30747
19274.8 24.4822 -50.134  0.272464 0.306189
14410.8 39.6902 -28.5597  0.378277 0.312182
14839.5 7.4229 -34.6434  0.367493 0.316747
19280.4 30.8403 -13.0666  0.272362 0.312258
16381.2 -41.7648 7.0799  0.331195 0.313991
17359.8 -67.883 20.2285  0.310037 0.32001
18265 -27.8675 9.5066  0.291671 0.320673
17885.4 -28.378 24.5935  0.299237 0.322093
16779.7 -27.0359 -16.4984  0.322409 0.324714
16373.9 -2.61517 -25.254  0.331357 0.323275
16048.6 -49.2553 -14.1899  0.338709 0.32378
14902.8 -15.1748 -5.41666  0.365927 0.32524
16920.9 -41.9056 -49.9293  0.319354 0.329323
15217.8 -14.1031 -35.2299  0.358234 0.329628
16178.8 -11.9774 -13.0683  0.335748 0.327739
16460.5 -50.3233 -2.02144  0.329428 0.332576
17811.2 -63.5246 -14.692  0.300738 0.33094
17238.4 20.0284 -4.20963  0.312586 0.32909
15503 -2.76437 8.95495  0.351409 0.334526
18049.7 -17.1474 -20.1756  0.295938 0.332552
14099.6 -5.48869 -2.38616  0.386303 0.336583
18370.6 -16.312 21.8686  0.289601 0.334527
15437.3 34.7691 2.65156  0.35297 0.337419
19345.3 -5.23621 -36.5242  0.271172 0.333596
17011.8 2.02767 -0.48217  0.317401 0.333264
14385.2 15.3551 14.2453  0.37893 0.335359
16218.4 -17.3285 -3.4349  0.334852 0.332173
16205.8 0.927637 29.4147  0.335137 0.333552
17128.7 -37.392 6.43528  0.314909 0.331728
16180.1 -0.0823669 -16.0276  0.335717 0.332589
18877.5 -54.8264 29.2865  0.279865 0.329718
14728.1 -30.8992 24.9419  0.370266 0.333882
