/home/jaredmales/Source/Magellan/visao_base/calib/visao/reconstructor/RecMats/Rec_20111125_165625.fits
13409.7 22.9389 10.5188  0.404705 0.370393
14709 35.1089 -3.32201  0.370743 0.369083
13145.9 10.9876 -8.62175  0.41197 0.372969
13412.9 -6.06999 -20.2185  0.404618 0.373635
11943.9 -9.45283 -45.9507  0.446767 0.377883
12563.8 -25.5744 -32.9879  0.428469 0.382091
13580.5 -23.2501 -32.079  0.400069 0.384768
14031.2 -28.3618 0.721186  0.388088 0.385319
13198.9 -8.42701 -22.1866  0.4105 0.388891
12909.1 -17.5427 -25.3255  0.418604 0.39218
13284.7 -6.69875 -8.38363  0.408131 0.392144
13415.4 -12.4363 -10.4806  0.40455 0.395899
12234.6 9.07452 -2.36959  0.438093 0.395932
12379.2 23.2919 8.14649  0.433841 0.399081
13451.1 12.8193 21.3085  0.403577 0.396618
12030.1 25.1198 28.8828  0.444179 0.400424
13276 32.4342 34.7773  0.408371 0.400089
12858 44.68 22.6239  0.420051 0.400817
11210.2 24.0419 4.32548  0.469436 0.405072
12104.8 22.1887 -0.18517  0.441944 0.405801
10921 -8.16401 -25.4959  0.478686 0.41243
11710.1 8.66041 -19.9068  0.453871 0.413847
14421 -2.39903 -7.64738  0.378016 0.413387
12892.9 -0.582341 -6.65811  0.419061 0.414865
12903.7 8.08649 -31.0045  0.418758 0.416821
11719 -15.1468 -10.3146  0.453597 0.420428
12502.2 -7.81916 6.27553  0.430255 0.420084
13280.3 37.5374 27.0534  0.408254 0.416621
11665.3 20.9804 0.660224  0.455244 0.416861
12013 6.67226 -10.1642  0.44469 0.416101
11486.3 13.2437 0.847838  0.460775 0.416761
11193.9 16.534 2.42879  0.469952 0.4166
11146.2 28.5443 20.2425  0.471468 0.418831
12370.8 9.04242 9.60436  0.434086 0.420768
12544.2 21.4852 27.3737  0.429038 0.420239
11755.6 9.99939 11.5096  0.452478 0.424695
12060.3 -0.598697 8.90924  0.443275 0.426208
11724.2 17.4744 24.0331  0.453439 0.426623
13948.6 13.9289 10.7396  0.390257 0.425882
12041.3 -14.9125 -17.9781  0.443842 0.426355
12888.2 -4.63424 3.81558  0.419195 0.424865
11428.6 -19.1203 6.37621  0.462572 0.428173
13193.8 0.446813 15.9926  0.410643 0.421002
12311.7 8.75062 -0.954314  0.435818 0.418405
11173.3 10.6485 20  0.470607 0.416498
11901.1 -4.0618 3.702  0.448059 0.415498
11015.8 -6.85847 -3.51732  0.475634 0.418108
10917.9 12.1725 -15.1979  0.478785 0.418218
11743.7 7.99272 -8.84473  0.452842 0.420537
11412.5 1.84848 -4.91063  0.463075 0.424135
11837.1 16.1334 -6.96993  0.449997 0.427389
11638.2 21.8761 -2.41906  0.456077 0.431468
10100 11.3557 31.1271  0.505943 0.440028
13005.1 34.6048 37.7923  0.415903 0.439545
11108.6 47.529 32.5323  0.472664 0.442703
11194.8 44.4311 19.4819  0.469926 0.445088
10187.2 18.4144 12.953  0.502978 0.448026
10028.8 23.7868 31.0025  0.508381 0.453712
10934.5 31.2772 30.1148  0.47825 0.45208
12058.4 27.6771 15.1602  0.443329 0.452384
10134.1 -5.03333 16.7216  0.504781 0.454398
11012.1 -13.7445 -2.4254  0.475753 0.457182
10810.5 -0.640526 3.32525  0.482266 0.457915
10983.8 -8.44389 12.967  0.476662 0.457464
11499.6 16.954 -3.61291  0.46036 0.458623
10956.4 12.942 2.72833  0.477542 0.458762
10727.3 4.43529 20.9333  0.484979 0.459313
10737.2 9.93374 4.18317  0.484657 0.460659
10618.4 40.5121 21.4311  0.488557 0.460188
12786.9 51.6996 1.08163  0.422069 0.455885
11621.2 18.4021 -3.2958  0.4566 0.454285
10580.2 -5.79839 -2.60288  0.489816 0.451333
12143.4 8.98595 17.085  0.440796 0.450754
11955.6 10.819 15.3374  0.446415 0.445177
11576 15.5375 5.72874  0.457996 0.442691
11456.1 1.77293 -3.21223  0.461715 0.439251
10735.8 -0.762848 5.72176  0.484701 0.438774
10649 0.143317 5.64447  0.487549 0.439955
11173.9 -11.7195 22.1573  0.470588 0.440921
11461.3 -11.2553 22.8189  0.461551 0.437872
12570.6 -9.05334 -4.10604  0.428275 0.437287
13258 -2.09468 -12.539  0.408867 0.43468
11991.7 -15.4061 2.26261  0.445329 0.434637
13106 -7.27209 3.94302  0.413081 0.431506
12589.9 8.7523 -5.18224  0.427717 0.427981
12478.2 14.2975 -13.0696  0.430952 0.424239
11739 -0.377122 -5.83265  0.452986 0.422068
12311 -7.103 6.9827  0.435839 0.417739
12067.6 -5.28183 4.34247  0.443056 0.417656
11869.1 -3.59221 11.0633  0.449029 0.413951
13829.1 -3.69835 7.4578  0.393416 0.406922
12070.7 -4.6929 -4.22022  0.442961 0.409025
12124.9 -1.83389 -14.93  0.441347 0.408071
13519.4 -3.8914 15.0009  0.401722 0.404832
12358.6 6.94325 21.0139  0.434443 0.40577
11996.4 -3.30938 0.334341  0.445188 0.406277
14637.8 0.0849817 -16.122  0.372529 0.402746
13573.9 -20.5361 9.89166  0.400247 0.403144
13838.8 -42.0416 -10.2805  0.393159 0.400789
13995.7 -18.9891 -27.5486  0.389018 0.398149
14003.1 -32.8809 -45.5999  0.388825 0.394377
14871.5 -56.6581 -30.741  0.3667 0.3859
13631.5 -46.2269 -34.4195  0.398694 0.382996
13983.8 -19.0089 -27.1922  0.389332 0.377067
14447.3 14.1632 -1.91027  0.377346 0.371623
12941.1 -1.74554 -10.3051  0.417701 0.36913
14150.7 -0.96363 -10.9903  0.384973 0.366429
14146.1 -8.006 -25.8175  0.385091 0.36449
13524.1 -7.89849 -8.12284  0.401593 0.36415
13988.9 -12.671 14.8938  0.389197 0.366308
12555.9 -17.8012 -4.89526  0.4287 0.36751
12464.5 -24.3699 -29.9156  0.43135 0.370905
12095.9 -36.1672 -14.7163  0.44221 0.378014
12061.7 -35.0336 -11.4094  0.44323 0.38262
12494.3 -39.4912 -6.02009  0.430485 0.387528
12027.9 -3.29136 -14.4635  0.444243 0.397689
11761 -31.0438 -16.5605  0.452314 0.403383
12219.4 -40.5645 -2.08403  0.438543 0.409068
12317.5 -58.5358 -25.528  0.435648 0.414489
12294.2 -21.8798 -24.3285  0.436333 0.418898
12272.5 -21.7596 -15.4493  0.436972 0.4234
13307 -33.8303 -35.2157  0.407518 0.422379
12049.4 -38.8656 -56.3005  0.443599 0.424897
13840.1 -21.2773 -46.8631  0.393122 0.422419
13074.6 -34.0778 -30.3915  0.413959 0.418734
14202.6 -13.9136 -14.9005  0.383626 0.414556
13769.3 -14.9453 -39.9622  0.395006 0.409434
13863.1 -14.787 -31.5127  0.392514 0.402185
13971.7 -19.4762 -12.5091  0.38965 0.396031
13329.7 -16.1236 -14.0073  0.406894 0.38911
14782.7 -5.20834 1.85669  0.368906 0.381516
14481.3 -14.0828 -19.3888  0.376482 0.375734
16295.9 -23.1387 -19.7899  0.333106 0.367543
14737.6 -45.5241 -18.5421  0.370029 0.363703
13779.6 -54.1706 -23.1084  0.394731 0.359876
12678.2 -24.6975 -14.6783  0.425176 0.35872
12595.9 -43.8226 -27.7884  0.427544 0.359582
13419.3 -54.3742 -33.0786  0.404443 0.360036
14635 -48.8764 -47.0425  0.3726 0.360016
14512.6 -54.9876 -32.8783  0.375687 0.361479
14616.5 -44.2971 -48.7094  0.373063 0.364417
14805.2 -27.6666 -49.31  0.368345 0.36379
13363.4 -27.7468 -48.5266  0.40597 0.369294
14794.2 -21.1911 -24.6807  0.368618 0.367818
13925.2 -12.6995 -26.5654  0.390873 0.370286
13996.5 -14.2204 -22.8832  0.388997 0.369835
13976.1 -6.51181 -23.0875  0.389532 0.369618
15068.5 -17.0144 -23.9772  0.361859 0.367497
15216.3 -31.6766 -26.6029  0.358271 0.364321
13739.5 -46.6428 -14.5134  0.3958 0.365746
14005.1 -23.8177 -6.23226  0.388773 0.363533
13969.6 -33.7779 2.07818  0.389703 0.364124
13743.1 -41.362 -26.3845  0.395704 0.362293
12123.4 -57.5315 -14.1777  0.441391 0.365061
13276.5 -44.3205 -14.4155  0.408357 0.365984
14145.9 -59.8345 -15.5648  0.385097 0.368354
13457.2 -38.1518 -26.3782  0.40341 0.373594
13968.9 -18.1161 -37.2528  0.389722 0.377402
13290.7 -43.2896 -30.6159  0.407967 0.380557
14328.2 -43.6004 -43.7788  0.380391 0.381112
12387.5 -26.9765 -50.1358  0.433596 0.385735
13629.2 -33.41 -49.1372  0.398756 0.38452
12702 -31.6396 -59.4091  0.424494 0.389024
13468.9 -36.4304 -39.5243  0.403093 0.388643
13131.5 -39.3413 -37.6534  0.412371 0.390002
13850.9 -25.3743 -16.5831  0.392836 0.389383
11941.1 4.24899 -7.46778  0.446851 0.393584
14436.4 -6.9026 -17.6085  0.377624 0.390969
14705.3 -25.2594 -29.6654  0.370835 0.387435
13817.2 -36.985 -17.357  0.393733 0.38722
14233.3 -14.6814 13.47  0.382833 0.385017
13183.4 -30.5753 -1.32507  0.41093 0.384664
13466.4 -31.4913 -23.2074  0.403159 0.381224
15631.4 -60.0597 -26.269  0.348378 0.37766
15398.2 -52.0288 -12.2263  0.353902 0.374814
13571.5 -42.6828 2.96175  0.400311 0.372187
13730.2 -5.20567 -20.1154  0.396048 0.369647
13444.7 -16.7792 -31.5679  0.40375 0.366967
13866.6 -6.9482 -34.4303  0.392421 0.366419
14645.3 -3.54989 -50.5298  0.37234 0.361975
12510.8 8.78993 -25.7317  0.430004 0.366595
14395.6 0.0559971 -34.0899  0.378666 0.364711
14155.6 -13.757 -26.7198  0.384845 0.366932
13649.3 -14.5817 -23.6935  0.398216 0.368755
13330.1 -26.2193 -27.1028  0.406885 0.372402
14486.8 -28.6059 -14.9577  0.376343 0.370399
14232.7 -19.9751 -9.92506  0.382849 0.374554
14065 -25.2973 -51.6798  0.387203 0.375578
13464.2 -45.2829 -26.7533  0.403218 0.37535
14777.7 -56.5504 -29.5785  0.36903 0.374024
14443.9 -38.2858 1.16366  0.377432 0.372058
13285.1 -40.138 -24.872  0.40812 0.372854
13138.4 -25.6621 -16.4335  0.412179 0.375166
12751.1 -39.6572 -24.8098  0.42309 0.375838
14878.8 -34.1083 -6.19566  0.36652 0.371189
14343 -17.0319 -14.6794  0.380011 0.371668
12849.7 -18.8271 -21.5335  0.420286 0.374206
14465.4 -1.05812 -26.8809  0.376887 0.373737
12834.1 -11.5382 -32.6302  0.420728 0.377916
12126.5 -22.0615 -47.9736  0.441297 0.378963
14740.8 -22.4919 -42.356  0.369948 0.379935
12750.9 -8.09348 -29.2801  0.423097 0.383692
12752.8 -13.0209 -24.4856  0.423041 0.38556
13254 -28.16 -29.2635  0.408978 0.386708
13438.5 -36.715 -14.7959  0.403921 0.389568
14662.8 -38.0148 -7.36879  0.371899 0.388269
13674.1 -34.4349 -7.51709  0.397551 0.388772
14174 -34.3722 -10.023  0.384368 0.38659
14595.8 -20.2722 -6.92962  0.373585 0.385521
12892.6 -31.7947 1.5085  0.41907 0.385312
14603.8 -30.0632 -1.22311  0.373384 0.379812
14456.5 -11.2266 -9.91285  0.377111 0.376897
