17051.7 2548 141.411  0.316548 0.310921
16807.5 45.3464 13.4458  0.321805 0.315751
17709.5 542.053 1563.11  0.302809 0.322716
15674.7 0.112383 1051.98  0.347361 0.325033
17825.5 156.213 89.4524  0.300448 0.326226
19735.9 680.1 93.1741  0.26412 0.328804
20573.7 1858.75 300.061  0.249606 0.326671
16438.8 2.3311 329.797  0.329909 0.324061
17930.3 475.736 172.213  0.298332 0.322955
16197.5 1814.78 95.11  0.335325 0.322188
15378.9 299.444 105.363  0.354361 0.322264
19139.5 223.321 33.2265  0.274962 0.319229
20372.2 482.275 411.54  0.253023 0.313122
17996.1 378.995 1243.13  0.29701 0.312606
17994 2124.17 0.0308323  0.297052 0.307373
14536.5 2748.28 224.601  0.375082 0.310455
19564.6 477.657 293.71  0.267189 0.306327
21210.7 777.847 264.784  0.239107 0.304985
17508.5 238.157 2.00018  0.306942 0.304139
16808.7 428.245 20.0104  0.321779 0.304069
15857.8 231.14 71.116  0.343097 0.306061
20883 105.911 431.713  0.244452 0.304898
20727.2 598.072 60.9033  0.247035 0.301082
21900 6.133 57.7008  0.228245 0.298196
17736.2 759.767 19.7938  0.302263 0.297808
19602 312.023 411.576  0.266516 0.291506
22108.8 1324.71 1016.37  0.225052 0.286939
19073.9 134.612 856.437  0.276182 0.287169
24143.8 2905.28 1258.61  0.196184 0.279682
19167.9 19.4329 438.382  0.274436 0.279381
18349.1 72.1503 56.3002  0.290022 0.27247
19460.9 1206 50.0146  0.269066 0.26945
19154.1 69.6508 1004.81  0.274691 0.270236
15251.1 66.7751 959.344  0.357429 0.27293
16869.4 419.81 1405.92  0.320465 0.27349
19973 0.589174 3435.59  0.259928 0.269985
22423.2 67.3738 181.514  0.220328 0.270997
19226.8 4071.1 946.256  0.273348 0.274431
18737.4 2390.75 759.785  0.282522 0.27929
20446.6 193.294 212.673  0.251755 0.277777
16286.3 129.334 207.26  0.333321 0.281579
17477 826.889 653.339  0.307594 0.285316
16764.7 328.229 333.981  0.322737 0.286035
20666.2 292.017 1295.36  0.248055 0.287989
16720.7 172.345 94.5922  0.323696 0.291533
23885.8 1048.38 484.44  0.199628 0.285999
18105 620.771 294.599  0.294837 0.288659
17915.2 1520.98 1296.97  0.298636 0.290958
20590.4 32.6805 785.976  0.249325 0.28623
21062 552.943 13.1284  0.241518 0.282664
17980.3 415.126 1314.48  0.297327 0.283581
14924 698.995 2720.28  0.365404 0.289508
19891.6 734.456 728.453  0.26136 0.286523
17367.2 169.476 2166.92  0.309882 0.287322
17687.5 121.526 47.056  0.303258 0.290386
18560.1 164.267 1758.56  0.285922 0.288815
19966.9 1518 1163.21  0.260036 0.288472
22885 1392.39 0.833114  0.213571 0.283844
15540.1 1204.75 168.604  0.350529 0.292024
17896.3 1581.97 73.625  0.299017 0.288238
19720.7 344.648 1095.98  0.264391 0.29172
15865.3 28.5875 568.158  0.342924 0.294897
16328.3 405.257 1052.81  0.332379 0.295019
16613.3 1335.59 674.614  0.326049 0.297611
16852.9 619.725 1526.6  0.320822 0.301749
17767.2 777.137 685.197  0.301631 0.304279
19224.4 977.209 1378.03  0.273392 0.300664
20383.4 0.0171022 197.734  0.252832 0.302634
19499.4 109.41 747.772  0.268367 0.302648
18602.8 186.524 988.119  0.2851 0.302457
16585.4 79.2368 281.262  0.326662 0.303748
18890.4 1236.37 1.2156  0.279622 0.301408
20428.8 2284.16 194.817  0.252059 0.303103
21729.6 46.6535 3377.15  0.230882 0.295908
20535.2 4.29254 7632.39  0.250255 0.291493
17405.5 1764.1 6753.35  0.309082 0.292726
21465.2 2037.23 4902.98  0.235037 0.285225
17447.8 2154.81 3585.61  0.308202 0.283957
16746.5 0.902667 1817.85  0.323133 0.28296
20457.2 404.667 562.008  0.251576 0.278844
18815.5 2047.35 196.769  0.281038 0.278454
19939.2 500.351 29.5735  0.260523 0.277434
18457.7 863.904 290.588  0.287905 0.279535
22266.7 1638.08 6.81675  0.222668 0.277203
19746.1 67.1705 0.00155939  0.263939 0.278291
22783.5 27.6948 557.457  0.215038 0.272853
24947.4 607.091 2.14545  0.185833 0.268097
21350.1 702.541 35.7427  0.23687 0.266304
17957.1 1505.64 67.281  0.297793 0.267115
19408.8 26.6736 649.972  0.270013 0.265574
18630.2 1988.5 764.026  0.284574 0.261344
18097.3 1190.59 85.2403  0.294989 0.263315
23796.1 11.1756 596.48  0.20084 0.257914
19585 163.995 58.71  0.266822 0.256218
18765.9 9.91632 332.501  0.281981 0.258605
20911.2 129.832 418.524  0.243988 0.257334
23190.4 0.419848 1023.8  0.209216 0.256836
23041.1 175.382 1084.1  0.211333 0.254062
19278.8 557.025 11.8066  0.272391 0.257839
25148.8 498.148 154.358  0.183325 0.2521
19468.3 29.0459 13.0501  0.26893 0.253476
18528.2 386.879 29.7766  0.286538 0.255822
21728.4 257.63 154.218  0.230902 0.253911
20566.5 29.1885 573.554  0.249727 0.250971
26068.7 10.8126 3.38602  0.172294 0.245775
19707.7 83.8316 2275.4  0.264623 0.246599
20034.5 4.21625 9.6014  0.258853 0.243013
21006.4 365.487 410.717  0.242426 0.245106
22515.7 1110.15 3004.46  0.218958 0.243535
22062.6 9.85115 4058.32  0.225754 0.241427
21389.5 10.6915 1892.8  0.236241 0.240789
16155.5 30.129 110.069  0.336277 0.246596
22077.3 99.9826 136.171  0.22553 0.246315
19727.1 2203.18 260.185  0.264276 0.245644
26244.6 6588.39 122.808  0.170262 0.245535
20897.1 3969.59 587.473  0.24422 0.247055
19126.6 735.372 1.78979  0.275202 0.246611
20468.4 60.7545 213.881  0.251386 0.247702
17096.9 507.859 180.488  0.315585 0.250003
19350.8 11.9023 1174.87  0.271072 0.254672
26140.2 228.164 1729.6  0.171464 0.250672
15072.4 23.6075 173  0.361764 0.258242
13332.7 102.469 2.85064  0.406813 0.265207
21910.9 21.6906 4.95152  0.228076 0.264513
18037.1 24.5362 1811.98  0.29619 0.270966
18917.6 1881.54 2246.81  0.27911 0.276994
20356.3 5531.87 12.0824  0.253294 0.274994
20296.4 4394.29 180.327  0.25432 0.279417
16351.5 3416.69 5643.47  0.331859 0.28298
22823.3 5374.24 3174.23  0.214462 0.284242
19698.7 212.828 680.134  0.264783 0.286339
20800 75.4133 2378.01  0.245825 0.283572
16448.7 634.001 857.361  0.32969 0.287495
18317.5 172.558 111.912  0.290641 0.283756
21363.8 14.7159 1.43559  0.236652 0.27821
20648.5 1249.01 32.5501  0.248351 0.28286
18723.6 122.38 25.8906  0.282785 0.280908
18138.7 31.3723 91.7264  0.294166 0.273879
21191.8 487.162 180.49  0.239413 0.274512
17547.1 40.2955 86.701  0.306144 0.275925
20694.4 101.005 31.097  0.247583 0.273473
18079.5 4.20143 1013.19  0.295345 0.27587
17343.6 1.81762 59.4782  0.310376 0.279789
19905.9 915.47 8.26565  0.261108 0.274958
18135.2 32.6731 939.445  0.294237 0.279711
18427.8 158.662 1131.3  0.288485 0.280429
20401.5 1826.71 1216.39  0.252523 0.282275
18428.3 120.247 995.972  0.288476 0.281784
24358.6 257.993 1291.73  0.193361 0.276412
22825.1 199.265 1284.55  0.214436 0.276
21720.3 4374.31 754.066  0.231027 0.274907
23514 471.235 74.6831  0.204698 0.269924
19189.4 566.769 275.814  0.274038 0.266628
17979.4 77.4883 65.0171  0.297346 0.267111
21958.3 403.807 72.8407  0.227349 0.259423
18904.8 875.305 981.566  0.27935 0.260089
21440.9 1417.82 860.253  0.235423 0.256095
20483.6 72.2136 588.587  0.251129 0.252811
18932.5 38.6742 590.606  0.278829 0.254399
16943.4 273.936 704.305  0.318868 0.256695
19593.9 664.41 843.584  0.266662 0.256095
16583.1 113.212 60.4858  0.326713 0.262942
20105.7 1125.87 371.823  0.257613 0.261768
19724 600.753 452.483  0.264331 0.267278
18435.2 13.0039 218.176  0.288342 0.272526
16881.7 3098.45 28.1123  0.320199 0.277128
19343.6 451.504 131.301  0.271203 0.281117
18582.5 1178.71 1024.85  0.28549 0.283783
18204.3 1585.16 867.368  0.292868 0.28383
17248.5 0.78211 564.248  0.312374 0.289074
16719.3 302.132 2776.13  0.323726 0.290844
21555.2 1285.9 1430.55  0.233616 0.290091
19509.8 356.795 359.414  0.268179 0.292097
18488.1 222.483 322.753  0.287314 0.293437
